City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,choele choel,-39.2667,-65.6833,29.36,14,68,12.05,AR,1732470101
197,jayapura,-2.5333,140.7,24.66,92,100,1.51,ID,1732470103
198,ghadamis,30.1337,9.5007,18.99,39,99,5.04,LY,1732470104
199,lashkar gah,31.5938,64.3716,15.27,27,9,4.22,AF,1732470105
200,puerto san jose,13.9256,-90.8244,27.21,63,69,1.63,GT,1732470106
201,cabo san lucas,22.8909,-109.9124,29.17,44,0,3.09,MX,1732470107
202,zhangye,38.9342,100.4517,-8.09,68,100,4.68,CN,1732470108
203,weno,7.4515,151.8468,28.97,84,100,4.12,FM,1732470109
204,port augusta,-32.5,137.7667,19.1,92,100,2.29,AU,1732470111
205,baikonur,45.6167,63.3167,2.88,55,0,8.22,KZ,1732470112
206,kingscliff,-28.2667,153.5667,19.41,94,100,1.54,AU,1732470113
207,fuglafjordur,62.244,-6.814,2.87,97,100,17.75,FO,1732470114
208,san juan,-31.5375,-68.5364,37.48,22,0,7.27,AR,1732469856
209,kamaishi,39.2667,141.8833,2.46,70,1,2.45,JP,1732470116
210,mersa matruh,31.3525,27.2453,15.11,51,40,8.75,EG,1732470117
211,chulakkurgan,43.765,69.1814,-1.92,59,0,0.66,KZ,1732470119
212,date,42.4681,140.8681,2.19,64,30,3.41,JP,1732470120
213,sao vicente,-23.9631,-46.3919,24.98,30,40,4.12,BR,1732470121
214,la ronge,55.1001,-105.2842,-12.86,85,100,6.69,CA,1732470122
215,kosh-agach,50.0,88.6667,-15.86,99,99,0.84,RU,1732470123
216,qamdo,31.1667,97.2333,-4.31,20,100,3.13,CN,1732470124
217,khandyga,62.6667,135.6,-29.76,98,32,0.67,RU,1732470126
218,magdagachi,53.45,125.8,-12.86,96,100,1.49,RU,1732470127
219,vuktyl,63.8567,57.3094,0.42,96,100,4.61,RU,1732470128
220,santa maria,-29.6842,-53.8069,31.61,48,20,5.14,BR,1732470129
221,bogoroditsk,53.7717,38.1241,-2.76,85,47,3.71,RU,1732470130
222,cooper's town,26.8667,-77.5167,21.1,56,0,1.79,BS,1732470132
223,erdek,40.3996,27.7935,7.15,53,0,5.14,TR,1732470133
224,mahina,-17.5065,-149.489,27.87,74,75,1.03,PF,1732470134
225,vanino,49.0869,140.2543,-8.24,73,7,2.85,RU,1732470136
226,klyuchi,52.2667,79.1667,-9.37,94,99,1.73,RU,1732470137
227,itamaraca,-7.7478,-34.8256,27.81,64,56,4.41,BR,1732470138
228,luderitz,-26.6481,15.1594,17.83,76,1,6.89,NA,1732470139
229,big stone gap,36.8677,-82.7745,11.9,69,12,2.3,US,1732470141
230,karema,-6.8205,30.4389,21.04,89,100,1.8,TZ,1732470142
231,strezhevoy,60.7333,77.5889,-1.99,81,100,4.57,RU,1732470143
232,okha,53.5739,142.9478,-5.01,78,71,5.92,RU,1732470145
233,valparaiso,-33.0393,-71.6273,22.8,45,0,6.17,CL,1732470146
234,shingu,33.7333,135.9833,6.67,83,1,3.24,JP,1732470147
235,uliastay,47.7417,96.8444,-20.48,72,62,2.38,MN,1732470148
236,santa terezinha,-29.9002,-50.0904,21.72,78,0,11.49,BR,1732470149
237,urangan,-25.3,152.9,22.97,70,6,6.16,AU,1732470150
238,songea,-10.6833,35.65,26.64,54,75,2.06,TZ,1732470151
239,iranshahr,27.2025,60.6848,22.19,30,0,0.0,IR,1732470153
240,souillac,-20.5167,57.5167,25.21,83,40,3.6,MU,1732470154
241,wynyard,-41.0,145.7167,14.55,92,96,2.39,AU,1732470156
242,andergrove,-21.0833,149.1833,23.32,73,1,4.19,AU,1732470157
243,huetamo de nunez,18.5833,-100.8833,31.36,48,18,0.73,MX,1732470158
244,kristiansund,63.1115,7.732,7.36,53,0,7.2,NO,1732470160
245,sunland park,31.7965,-106.58,21.4,20,0,4.92,US,1732470161
246,mhangura,-16.8939,30.1683,21.38,62,95,1.85,ZW,1732470162
247,hamilton,39.1834,-84.5333,11.88,72,0,3.09,US,1732469969
248,dampit,-8.2116,112.7493,22.56,94,100,1.26,ID,1732470165
249,cruzeiro do sul,-29.5128,-51.9853,34.18,50,0,0.95,BR,1732470166
250,mabaruma,8.2,-59.7833,28.23,77,99,1.93,GY,1732470168
